Mc,eta,chi1z,chi2z,DL,e0
7.734328186570735286e-02,9.181095273965366177e-01,1.403823588309420956e+01,1.026734660907749799e+02,1.931980878384043310e+00,3.440577012333786988e-02
1.970089983438927037e-02,9.796679131316440303e-01,1.668991309433304338e+01,2.535266591646219325e+01,3.785637499330709144e+00,2.186934483204766577e-02
1.592456620157514102e-01,3.918812505125758294e-01,6.626198984556753047e+00,8.121973743697382986e+01,7.843319555126746501e-01,3.292035309554446898e-01
4.740617805877927332e-02,3.380623066828047918e-02,2.061318675452041393e+00,1.112073567336868649e+02,1.007602002349958337e+00,2.755931821982019608e-02
1.357815672002420371e+00,1.126283840592682939e+00,4.249308626999613381e+01,7.345908885205342358e+02,5.337338624021126243e+00,1.554783630692629703e+00
2.953229921990328799e-02,5.934203076424758860e-01,2.116913050808578500e+00,2.714680804526481950e+01,2.658537249084851339e+00,4.954627193508498451e-02
5.401839311461839044e-01,7.986443912962041258e-01,1.853421449348773820e+01,4.930780366606376219e+02,3.899267617323030510e+00,1.277440511549386759e+00
5.733012706782317572e-03,2.598644303098436303e-01,1.525890517745829955e+00,5.121428538657995411e+00,5.286538655374029005e-01,8.930910775758688427e-03
2.251594477862527199e+00,5.378292096843034109e+00,6.665012392044299361e+01,4.590065506272715083e+02,2.367156507728811921e+00,7.986909944218397728e-01
1.681294681640878863e-01,1.965728623898346239e+00,5.507342230737408251e+00,4.927790092613355455e+01,1.851979918686337934e+00,1.006413568478624343e-01
8.093978159760490954e-01,2.349787342772096999e+00,1.146345980779120737e+02,3.058404652231808996e+02,1.441256689640839639e+00,3.167377089886122543e-01
1.405161891329788706e-02,3.883041231395750192e-01,4.877748935191593915e+00,2.045608197268570549e+01,8.335205217611095785e-01,7.756149333564479366e-03
6.785197409746002162e-02,1.718929093781981443e+00,2.821521872380980156e+01,5.165660121017668160e+01,1.587558438194494270e+00,6.908889222382808004e-02
3.213329593300000564e-01,7.311556198189713029e+00,1.662252640873012695e+02,5.798936904804480719e+02,1.636572708732507042e+00,2.020472233518196270e-01
1.915054980216928382e-01,8.189604378067878443e-01,1.073744180977181983e+01,1.012727985972956191e+02,7.086775994061521589e-01,4.448564283816374698e-01
2.304391362707332649e-02,1.728772127889886434e+00,2.281848030320277232e+01,4.900271207886333968e+01,2.901493688057343423e+00,7.612323689182150244e-02
2.175369673290777905e-01,3.210811244071991588e+00,5.089691265387872932e+01,1.260788708734849592e+02,1.768327109223830351e-01,2.077482801935069401e-01
1.797471848787337428e-02,6.143915934512152871e-02,1.341066645816686886e+00,1.725403624485680609e+01,7.776323283545362175e-01,1.738079298470036199e-02
7.144608374775179849e-02,1.265307654547725758e+00,2.157577868127297194e+01,2.361281651371565360e+01,4.946961262169570217e-01,6.009148041301682480e-02
6.112244005555447779e-02,5.568790151713711722e+00,9.558593435438861263e+01,7.929114092802221592e+01,4.036696071724024115e+00,2.220087523640343619e-01
8.535633967286929691e-01,8.674205995121278434e+00,1.155762421816292544e+03,1.210771632601197098e+03,2.535264888008643247e+00,5.588535834283087089e-01
2.262404280863765729e-02,1.694095481570985884e+00,6.404588366006996125e+01,9.072691534715606565e+01,2.300391249452015674e-01,2.353680956215789891e-02
1.946883676970947163e-01,1.483504290879732457e+00,1.452077407488397931e+01,1.488901110534426948e+02,1.415384794272519509e+00,8.257078675567137982e-02
6.516340034040133365e-03,4.899439832388775562e-01,1.047991519910753588e+01,1.300181138882180321e+01,1.154956502403601037e+00,6.381739514888155537e-03
1.411588984473675534e+00,5.169552620121955044e+00,1.880661233363062195e+02,5.321121597064092157e+02,1.587921570897876222e+00,3.211953482390083048e-01
1.324509418942872337e-02,9.058957537306303598e-01,6.113358448616803997e+00,8.973881754233445918e+00,3.840336503792317058e-01,2.381623298792962320e-02
5.983688949549512137e-02,1.627155465274533752e-02,1.427511413570935472e+00,1.425578196357965055e+02,7.592292581399880114e-02,1.731513675293381779e-02
2.052066725281224621e-02,1.368964125122715147e+00,1.230395442143277052e+01,2.692415656951501646e+01,1.736393475486983640e+00,1.144987234363569889e-01
4.562048065743019576e-01,5.858640925218766560e-01,4.534314906832156566e+01,1.206004730562230662e+02,1.823417576449010591e+00,5.413537992459801357e-02
1.298185918450051350e-03,2.377894269267886648e-02,1.167392249119838105e-01,2.884711115603730280e-01,1.631583932741077936e+00,8.564687994050588452e-04
4.393826009432586638e-02,2.984003995625211125e+00,3.336359878727864015e+01,7.803950604063933838e+01,1.312537400707978641e+00,6.553560972454083866e-02
